IRONSTL production by tech
scenario,region,sector,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,EAF with DRI,0.0139,0.0152,0.0152,0.0152,0.02175014,0.04876876,0.11949926,0.28118791,0.60610671,1.1469107,1.9056985,0.0,0.0,0.0,Mt,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0.0,0.0,0.0,0.0,2.97959E-4,0.006611547,0.03484553,0.1254585554,0.36158060000000003,0.85399064,1.6967593,0.0,0.0,0.0,Mt,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0.0,0.0,0.0,0.0,0.0,0.00854861,0.051977800000000005,0.14334822,0.31438712999999996,0.5900872,0.9736286999999999,0.0,0.0,0.0,Mt,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.00438,0.0048,0.0048,0.0048,0.00705544,0.02201158,0.073417383,0.195871436,0.45682254,0.9236993,1.6297001,0.0,0.0,0.0,Mt,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,iron and steel,BLASTFUR,iron and steel,BLASTFUR,1.92556,2.1154,1.2631,1.2263,1.439472,1.7378010000000002,1.954599,2.0982365,2.1931979999999998,2.227731,2.229569,0.0,0.0,0.0,Mt,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0.0,0.0,0.0,0.0,0.00377379,0.04179655,0.11336568999999999,0.201454535,0.28309521000000004,0.368263,0.4418807,0.0,0.0,0.0,Mt,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0.0,0.0,0.0,0.0,0.0,2.63548E-5,1.389486E-4,4.028143E-4,6.7313768E-4,9.404120000000001E-4,0.0011560977,0.0,0.0,0.0,Mt,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,iron and steel,BLASTFUR,iron and steel,Biomass-based,0.0,0.0,0.0,0.0,7.54445E-6,7.876332E-5,2.092414E-4,3.6037723E-4,4.752501E-4,5.578981000000001E-4,5.998981E-4,0.0,0.0,0.0,Mt,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,iron and steel,EAF with DRI,iron and steel,EAF with DRI,1.9853,4.5832,5.73,4.447,5.24879,6.51631,7.678424,8.669379,9.496079000000002,10.151943000000001,10.612037999999998,0.0,0.0,0.0,Mt,
