"","region","scenario","sector","subsector","output","technology","Units","year","value"
"1","China","1p5C","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2015,0
"2","China","1p5C_delay","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2015,0
"3","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2015,0
"4","China","1p5C","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2015,756
"5","China","1p5C_delay","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2015,756
"6","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2015,756
"7","China","1p5C","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2015,0
"8","China","1p5C_delay","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2015,0
"9","China","1p5C","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2015,0
"10","China","1p5C_delay","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2015,0
"11","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2015,0
"12","China","1p5C","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2015,2.37
"13","China","1p5C_delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2015,2.37
"14","China","current_policies","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2015,2.37
"15","China","1p5C","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2015,0
"16","China","1p5C_delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2015,0
"17","China","1p5C","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2015,45.1
"18","China","1p5C_delay","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2015,45.1
"19","China","current_policies","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2015,45.1
"20","China","1p5C","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2015,0
"21","China","1p5C_delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2015,0
"22","China","current_policies","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2015,0
"23","China","1p5C","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2020,0.448954
"24","China","1p5C_delay","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2020,0.448954
"25","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2020,0.510233
"26","China","1p5C","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2020,955.176
